"gene"	"ASDc"	"IDG"	"hs"	"SCZ"	"FMRP"	"PSD"	"NP_exon_max_z"	"any_Brain_GO"	"TADAq"	"TADAi"	"UASD"	"varp"	"meanp"	"medp"	"minp"	"maxp"
"VGLL3"	0	0	0.059	0	0	0	-0.729489132949758	0	0.898637040133493	0	0	0.00148638658960398	0.297763616806855	0.289790101766273	0.214274204580744	0.460246157195562
"MBLAC1"	0	0	0	0	0	0	-1.71793068641106	0	0.930300713282348	0	0	0.00178898082595215	0.297724087915049	0.289282211333116	0.217289559012641	0.460246157195562
"SPSB2"	0	0	0.068	0	0	0	-0.648305836900756	0	0.872703683465743	0	0	0.00150962844912369	0.297692629809607	0.289766988334326	0.211543093378362	0.460246157195562
"CRTAM"	0	0	0.168	0	0	0	-0.111190387260747	0	0.858547019310081	0	0	0.00209000294703288	0.29768992080794	0.294140967062578	0.183637418960974	0.460246157195562
"SLC2A8"	0	0	0.111	0	0	0	-0.350596217339687	0	0.945571295423751	0	0	0.00170246796044846	0.297689072554794	0.290402292899132	0.200734348975031	0.460246157195562
"MCM7"	0	0	0.936	0	0	0	0.428950700875842	0	0.944435184745816	0	0	0.0122818098600726	0.297678148918897	0.345734267487917	0.0129914543254872	0.612250869336661
"HTR3A"	0	0	0.22	0	0	0	0.0276910036161315	0	0.640925079001903	0	0	0.00252821956801202	0.297666840940148	0.29851724627666	0.154404177628917	0.460246157195562
"POLG2"	0	0	0.203	0	0	0	-0.0126395627993965	0	0.817248052055055	0	0	0.00237819216905975	0.297649499718174	0.297059992960109	0.163255178613366	0.460246157195562
"LILRB4"	0	0	0.063	0	0	0	-0.696113984155704	0	0.740193668056203	0	0	0.00149704869693346	0.297645972418763	0.289692721046269	0.212898654880362	0.460246157195562
"C7orf31"	0	0	0.088	0	0	0	-0.494228142482495	0	0.946181183399221	0	0	0.00158568201416801	0.297625234938163	0.289583917905564	0.206111985987416	0.460246157195562
"SCGB1D1"	0	0	0.002	0	0	0	-1.6721824925304	0	0.935004366351595	0	0	0.00175592658917137	0.297599863064398	0.288847250098503	0.217777954779307	0.460246157195562
"SAA2-SAA4"	0	0	0	0	0	0	-1.72881797800077	0	0.919579611028898	0	0	0.00179397016701153	0.297583582333004	0.289143159486986	0.217047021006087	0.460246157195562
"CDRT4"	0	0	0.063	0	0	0	-0.699386174461427	0	0.914701358620862	0	0	0.00149821782895387	0.297573882128936	0.289631251522814	0.212779475094506	0.460246157195562
"MPI"	0	0	0.133	0	0	0	-0.248399642807934	0	0.943980140477226	0	0	0.00184185339950907	0.297528834970774	0.291455598226386	0.19564588992337	0.460246157195562
"CXCL3"	0	0	0.037	0	0	0	-1	0	0.905841308749625	0	0	0.00148238586621262	0.297523178079452	0.288843419616687	0.22109995804651	0.460246157195562
"HRC"	0	0	0.086	0	0	0	-0.512723733440362	0	0.945013607198708	0	0	0.00157879785710272	0.297513763718057	0.289812529350365	0.206427227733371	0.460246157195562
"ORAOV1"	0	0	0.129	0	0	0	-0.26801339788226	0	0.913048668377102	0	0	0.00181675615394334	0.297477354710813	0.291231706406003	0.196402295390719	0.460246157195562
"OPN3"	0	0	0.149	0	0	0	-0.184445399450465	0	0.932121869058355	0	0	0.00195364471375605	0.297471560699405	0.292867968342463	0.192251628184527	0.460246157195562
"CXCL1"	0	0	0.21	0	0	0	0	0	0.88500351963881	0	0	0.00244468731062533	0.297467591953699	0.297514750137101	0.159196148101108	0.460246157195562
"C19orf45"	0	0	0.096	0	0	0	-0.447019619119242	0	0.933259728489068	0	0	0.001626364677859	0.29746553275223	0.28959025508372	0.20386187124083	0.460246157195562
